,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
1438,Munindar P. Singh,North Carolina State University,Computer Security,Indian Institute of Technology Delhi,University of Texas at Austin,0,31,31,0
1439,Nagiza F. Samatova,North Carolina State University,Algorithms & Complexity,National University of Uzbekistan,Russian Academy of Sciences,0,32,32,0
1440,Noboru Matsuda,North Carolina State University,Artificial Intelligence,Tokyo Gakugei University,University of Pittsburgh,0,2,2,0
1441,Peng Ning,North Carolina State University,Computer Security,University of Science and Technology of China,George Mason University,0,31,31,0
1442,Rada Chirkova,North Carolina State University,Algorithms & Complexity,Moscow State University,Stanford University,0,32,32,0
1443,Randy Avent,North Carolina State University,Scientific Computing,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,0,7,7,0
1444,Robert D. Rodman,North Carolina State University,Natural Language Processing,,"University of California, Los Angeles",0,0,0,1
1445,Robert J. Fornaro,North Carolina State University,Software Engineering,Saint Vincent College,Pennsylvania State University,0,12,12,0
1446,Robert St. Amant,North Carolina State University,Artificial Intelligence,Johns Hopkins University,Massachusetts Institute of Technology,0,2,2,0
1447,Rudra Dutta,North Carolina State University,Computer Networks,Jadavpur University,North Carolina State University,0,34,34,0
1448,Sarah Heckman,North Carolina State University,Software Engineering,North Carolina State University,North Carolina State University,0,12,12,0
1449,Steffen Heber,North Carolina State University,Comp. Bio & Bioinformatics,Heidelberg University,Heidelberg University,0,2,2,0
1450,Tiffany Barnes,North Carolina State University,Artificial Intelligence,North Carolina State University,North Carolina State University,0,2,2,0
1451,Tim Menzies,North Carolina State University,Machine Learning & Data Mining,University of New South Wales,University of New South Wales,0,25,25,0
1452,Vincent W. Freeh,North Carolina State University,Operating Systems,University of Arizona,University of Arizona,0,0,0,0
1453,William Enck,North Carolina State University,Computer Security,Pennsylvania State University,Pennsylvania State University,0,31,31,0
1454,William J. Stewart,North Carolina State University,High-Performance Computing,Queen's University,Queen's University,0,7,7,0
1455,Xiaohui Gu,North Carolina State University,Computer Networks,Peking University,University of Illinois at Urbana-Champaign,0,34,34,0
1456,Xipeng Shen,North Carolina State University,Machine Learning & Data Mining,North China University of Technology,University of Rochester,0,25,25,0
1457,Xuxian Jiang,North Carolina State University,Computer Networks,,Purdue University,0,34,34,1
1458,Aanjhan Ranganathan,Northeastern University,,,,0,0,0,3
1459,Abhi Shelat,Northeastern University,Computer Security,Harvard University,Massachusetts Institute of Technology,0,31,31,0
1460,Agnes Hui Chan,Northeastern University,Computer Security,Smith College,Ohio State University,0,31,31,0
1461,Alan Mislove,Northeastern University,Computer Security,Rice University,Rice University,0,31,31,0
1462,Albert-László Barabási,Northeastern University,Theory,University of Bucharest,Boston University,0,2,2,0
1463,Alessandro Vespignani,Northeastern University,Theory,Sapienza University of Rome,Sapienza University of Rome,0,2,2,0
1464,Alina Oprea,Northeastern University,Computer Security,University of Bucharest,Carnegie Mellon University,0,31,31,0
1465,Amal Ahmed,Northeastern University,Programming Languages,Brown University,Princeton University,0,7,7,0
1466,Amit Shesh,Northeastern University,Computer Graphics,University of Mumbai,University of Minnesota,0,14,14,0
1467,Andrea Grimes Parker,Northeastern University,Human-Computer Interaction,Northeastern University,Georgia Institute of Technology,0,21,21,0
1468,Auroop Ganguly,Northeastern University,Economics & Computation,Indian Institute of Technology Kanpur,Massachusetts Institute of Technology,0,0,0,0
1469,Byron C. Wallace,Northeastern University,Machine Learning & Data Mining,University of Massachusetts Amherst,Tufts University,0,25,25,0
1470,Carla E. Brodley,Northeastern University,Machine Learning & Data Mining,McGill University,University of Massachusetts Amherst,0,25,25,0
1471,Chris Amato,Northeastern University,Artificial Intelligence,Tufts University,University of Massachusetts,0,2,2,0
1472,Christo Wilson,Northeastern University,Algorithms & Complexity,"University of California, Santa Barbara","University of California, Santa Barbara",0,32,32,0
1473,Christoph Riedl,Northeastern University,Artificial Intelligence,Technical University of Munich,Technical University of Munich,0,2,2,0
1474,Cody Dunne,Northeastern University,Machine Learning & Data Mining,Cornell College,University of Maryland,0,25,25,0
1475,Cristina Nita-Rotaru,Northeastern University,Computer Security,Politehnica University of Bucharest,Johns Hopkins University,0,31,31,0
1476,Daniel Wichs,Northeastern University,Cryptography,Stanford University,New York University,0,26,26,0
1477,David A. Smith,Northeastern University,Human-Computer Interaction,Harvard University,Johns Hopkins University,0,21,21,0
1478,David Kaeli,Northeastern University,Computer Architecture,Rutgers University,Rutgers University,0,2,2,0
1479,David Lazer,Northeastern University,Computer Networks,Wesleyan University,University of Michigan,0,34,34,0
1480,David R. Choffnes,Northeastern University,,Amherst College,Northwestern University,0,0,0,1
1481,Ehsan Elhamifar,Northeastern University,Machine Learning & Data Mining,Sharif University of Technology,Johns Hopkins University,0,25,25,0
1482,Emanuele Viola,Northeastern University,Theory,Sapienza University of Rome,Harvard University,0,2,2,0
1483,Engin Kirda,Northeastern University,Computer Security,TU Wien,TU Wien,0,31,31,0
1484,Frank Tip,Northeastern University,Software Engineering,University of Amsterdam,University of Amsterdam,0,12,12,0
1485,Gene Cooperman,Northeastern University,Computer Security,University of Michigan,Brown University,0,31,31,0
1486,Guevara Noubir,Northeastern University,Computer Security,École nationale supérieure d'informatique et de mathématiques appliquées de Grenoble,ETH Zurich,0,31,31,0
1487,Harriet J. Fell,Northeastern University,Natural Language Processing,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,0,0
1488,Holly Jimison,Northeastern University,Comp. Bio & Bioinformatics,,Stanford University,0,2,2,1
1489,Huy L. Nguyen,Northeastern University,Algorithms & Complexity,Massachusetts Institute of Technology,Princeton University,0,32,32,0
1490,Jan Vitek,Northeastern University,Programming Languages,University of Victoria,University of Geneva,0,7,7,0
1491,Jan-Willem van de Meent,Northeastern University,Machine Learning & Data Mining,Leiden University,University of Cambridge,0,25,25,0
1492,Javed A. Aslam,Northeastern University,Machine Learning & Data Mining,,Massachusetts Institute of Technology,0,25,25,1
1493,Jay Aslam,Northeastern University,Machine Learning & Data Mining,University of Notre Dame,Massachusetts Institute of Technology,0,25,25,0
1494,Jennifer G. Dy,Northeastern University,Machine Learning & Data Mining,University of the Philippines,Purdue University,0,25,25,0
1495,Jonathan Ullman,Northeastern University,Computer Security,Princeton University,Harvard University,0,31,31,0
1496,Karl J. Lieberherr,Northeastern University,Artificial Intelligence,ETH Zurich,ETH Zurich,0,2,2,0
1497,Ken Baclawski,Northeastern University,Comp. Bio & Bioinformatics,University of Wisconsin-Madison,Harvard University,0,2,2,0
1498,Kevin Gold,Northeastern University,Artificial Intelligence,Harvard University,Yale University,0,2,2,0
1499,Larry A. Finkelstein,Northeastern University,Interdisciplinary Areas,City College of New York,University of Birmingham,0,11,11,0
1500,Lawson L. S. Wong,Northeastern University,Robotics,Stanford University,Massachusetts Institute of Technology,0,62,62,0
1501,Long Lu,Northeastern University,Computer Security,Shanghai Jiao Tong University,Georgia Institute of Technology,0,31,31,0
1502,Matthew S. Goodwin,Northeastern University,Machine Learning & Data Mining,Wheaton College,University of Rhode Island,0,25,25,0
1503,Matthias Felleisen,Northeastern University,Programming Languages,Institute for Beam Physics and Technology,Indiana University Bloomington,0,7,7,0
1504,Michelle A. Borkin,Northeastern University,Visualization,Harvard University,Harvard University,0,0,0,0
1505,Mirek Riedewald,Northeastern University,Databases,Saarland University,"University of California, Santa Barbara",0,0,0,0
1506,Misha Pavel,Northeastern University,Machine Learning & Data Mining,New York University,New York University,0,25,25,0
1507,Mitchell Wand,Northeastern University,Programming Languages,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,7,7,0
1508,Olga Vitek,Northeastern University,Comp. Bio & Bioinformatics,University of Geneva,Purdue University,0,2,2,0
1509,Olin Shivers,Northeastern University,Programming Languages,Yale University,Carnegie Mellon University,0,7,7,0
1510,Panagiotis Manolios,Northeastern University,Programming Languages,,University of Texas at Austin,0,7,7,1
1511,Paul Hand,Northeastern University,Algorithms & Complexity,California Institute of Technology,New York University,0,32,32,0
1512,Peter Desnoyers,Northeastern University,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
1513,Predrag Radivojac,Northeastern University,Comp. Bio & Bioinformatics,University of Novi Sad,Temple University,0,2,2,0
1514,Rajmohan Rajaraman,Northeastern University,Algorithms & Complexity,Indian Institute of Technology Kanpur,University of Texas at Austin,0,32,32,0
1515,Ravi Sundaram,Northeastern University,Computer Networks,Indian Institute of Technology Madras,Massachusetts Institute of Technology,0,34,34,0
1516,Renée J. Miller,Northeastern University,Databases,Massachusetts Institute of Technology,University of Wisconsin-Madison,0,0,0,0
1517,Rupal Patel,Northeastern University,Natural Language Processing,University of Calgary,University of Toronto,0,0,0,0
1518,Seth Cooper,Northeastern University,Comp. Bio & Bioinformatics,"University of California, Berkeley",University of Washington,0,2,2,0
1519,Stacy C. Marsella,Northeastern University,Comp. Bio & Bioinformatics,Harvard University,Rutgers University,0,2,2,0
1520,Stavros Tripakis,Northeastern University,Computer Security,University of Crete,Joseph Fourier University,0,31,31,0
1521,Stephen S. Intille,Northeastern University,Mobile Computing,University of Pennsylvania,Massachusetts Institute of Technology,0,0,0,0
1522,Stratis Ioannidis,Northeastern University,Machine Learning & Data Mining,National Technical University of Athens,University of Toronto,0,25,25,0
1523,Taskin Padir,Northeastern University,Robotics,Middle East Technical University,Purdue University,0,62,62,0
1524,Thomas Wahl,Northeastern University,Algorithms & Complexity,University of Texas at Austin,University of Texas at Austin,0,32,32,0
1525,Timothy W. Bickmore,Northeastern University,Human-Computer Interaction,Arizona State University,Massachusetts Institute of Technology,0,21,21,0
1526,Tina Eliassi-Rad,Northeastern University,Machine Learning & Data Mining,University of Wisconsin-Madison,University of Wisconsin-Madison,0,25,25,0
1527,Viera K. Proulx,Northeastern University,,,Columbia University,0,0,0,2
1528,William K. Robertson,Northeastern University,Computer Security,"University of California, Santa Barbara","University of California, Santa Barbara",0,31,31,0
1529,Wolfgang Gatterbauer,Northeastern University,Databases,Graz University of Technology,TU Wien,0,0,0,0
1530,Xue Lin,Northeastern University,Machine Learning & Data Mining,Tsinghua University,University of Southern California,0,25,25,0
1531,Yanzhi Wang,Northeastern University,Artificial Intelligence,Tsinghua University,University of Southern California,0,2,2,0
1532,Yun Fu,Northeastern University,Artificial Intelligence,Xi'an Jiaotong University,University of Illinois at Urbana-Champaign,0,2,2,0
1533,Alex David Groce,Northern Arizona University,Software Engineering,North Carolina State University,Carnegie Mellon University,0,12,12,0
1534,Abraham H Haddad,Northwestern University,Algorithms & Complexity,,Princeton University,0,32,32,1
1535,Aggelos K. Katsaggelos,Northwestern University,Artificial Intelligence,Aristotle University of Thessaloniki,Georgia Institute of Technology,0,2,2,0
1536,Aleksandar Kuzmanovic,Northwestern University,Computer Networks,University of Belgrade,Rice University,0,34,34,0
1537,Alok N. Choudhary,Northwestern University,Computer Security,Birla Institute of Technology and Science,University of Illinois at Urbana-Champaign,0,31,31,0
1538,Anne Marie Piper,Northwestern University,Human-Computer Interaction,Georgia Institute of Technology,"University of California, San Diego",0,21,21,0
1539,Aravindan Vijayaraghavan,Northwestern University,Machine Learning & Data Mining,Indian Institute of Technology Madras,Princeton University,0,25,25,0
1540,Arthur Butz,Northwestern University,Scientific Computing,Massachusetts Institute of Technology,University of Minnesota,0,7,7,0
1541,Brenna Argall,Northwestern University,Artificial Intelligence,Carnegie Mellon University,Carnegie Mellon University,0,2,2,0
1542,Brent J. Hecht,Northwestern University,Computer Networks,"University of California, Santa Barbara","University of California, Santa Barbara",0,34,34,0
1543,Bryan Pardo,Northwestern University,Programming Languages,Ohio State University,University of Michigan,0,7,7,0
1544,Chi-Haur Wu,Northwestern University,Computer Vision,National Taiwan University,Purdue University,0,5,5,0
1545,Christopher Riesbeck,Northwestern University,Programming Languages,Alfred University,Stanford University,0,7,7,0
1546,Christos Dimoulas,Northwestern University,Computer Architecture,Northwestern University,Northwestern University,0,2,2,0
1547,Darren Gergle,Northwestern University,Human-Computer Interaction,University of Michigan,Carnegie Mellon University,0,21,21,0
1548,Doug Downey,Northwestern University,Natural Language Processing,Case Western Reserve University,University of Washington,0,0,0,0
1549,Eleanor O'Rourke,Northwestern University,Human-Computer Interaction,Colby College,University of Washington,0,21,21,0
1550,Fabian E. Bustamante,Northwestern University,Computer Networks,National University of Patagonia San Juan Bosco,Georgia Institute of Technology,0,34,34,0
1551,Goce Trajcevski,Northwestern University,Mobile Computing,Ss. Cyril and Methodius University of Skopje,University of Illinois at Chicago,0,0,0,0
1552,Gokhan Memik,Northwestern University,Computer Architecture,Boğaziçi University,"University of California, Los Angeles",0,2,2,0
1553,Hai Zhou,Northwestern University,Logic & Verification,Tsinghua University,University of Texas at Austin,0,0,0,0
1554,Han Liu,Northwestern University,Artificial Intelligence,Washington University in St. Louis,Carnegie Mellon University,0,2,2,0
1555,Haoqi Zhang,Northwestern University,Human-Computer Interaction,Harvard University,Harvard University,0,21,21,0
1556,Horace Yuen,Northwestern University,Computer Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,14,14,0
1557,Ian Douglas Horswill,Northwestern University,Artificial Intelligence,University of Minnesota,Massachusetts Institute of Technology,0,2,2,0
1558,Jack Tumblin,Northwestern University,Computer Graphics,Georgia Institute of Technology,Georgia Institute of Technology,0,14,14,0
1559,Jason D. Hartline,Northwestern University,Algorithms & Complexity,Cornell University,University of Washington,0,32,32,0
1560,Jennie Duggan,Northwestern University,Databases,Rensselaer Polytechnic Institute,Brown University,0,0,0,0
1561,Jennie Rogers,Northwestern University,Algorithms & Complexity,Rensselaer Polytechnic Institute,Brown University,0,32,32,0
1562,Jessica Hullman,Northwestern University,Databases,Ohio State University,University of Michigan,0,0,0,0
1563,Jie Gu,Northwestern University,High-Performance Computing,Tsinghua University,University of Minnesota,0,7,7,0
1564,Josiah D. Hester,Northwestern University,High-Performance Computing,Clemson University,Clemson University,0,7,7,0
1565,Kenneth D. Forbus,Northwestern University,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,2,2,0
1566,Konstantin Makarychev,Northwestern University,Algorithms & Complexity,Moscow State University,Princeton University,0,32,32,0
1567,Koray Aydin,Northwestern University,Computer Architecture,Bilkent University,Bilkent University,0,2,2,0
1568,Kristian J. Hammond,Northwestern University,Artificial Intelligence,Yale University,Yale University,0,2,2,0
1569,Larry Birnbaum,Northwestern University,Natural Language Processing,Yale University,Yale University,0,0,0,0
1570,Lawrence J. Henschen,Northwestern University,Computer Networks,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,34,34,0
1571,MARCELO WORSLEY,Northwestern University,Computer Education,Stanford University,Stanford University,0,4,4,0
1572,Martin Plonus,Northwestern University,Computer Networks,University of Illinois at Urbana-Champaign,University of Michigan,0,34,34,0
1573,Michael Honig,Northwestern University,Computer Networks,Stanford University,"University of California, Berkeley",0,34,34,0
1574,Michael Rubenstein,Northwestern University,Computer Education,Purdue University,University of Southern California,0,4,4,0
1575,Michael S. Horn,Northwestern University,Human-Computer Interaction,Brown University,Tufts University,0,21,21,0
1576,Ming-Yang Kao,Northwestern University,Algorithms & Complexity,National Taiwan University,Yale University,0,32,32,0
1577,Morteza Amir Rahimi,Northwestern University,Computer Architecture,Michigan State University,University of Iowa,0,2,2,0
1578,Nabil Alshurafa,Northwestern University,,"University of California, Los Angeles","University of California, Los Angeles",0,0,0,1
1579,Nikolaos Hardavellas,Northwestern University,High-Performance Computing,University of Crete,Carnegie Mellon University,0,7,7,0
1580,Oliver Cossairt,Northwestern University,Computer Vision,Evergreen State College,Columbia University,0,5,5,0
1581,Peter A. Dinda,Northwestern University,High-Performance Computing,University of Wisconsin-Madison,Carnegie Mellon University,0,7,7,0
1582,Peter Scheuermann,Northwestern University,Databases,Tel Aviv University,Stony Brook University,0,0,0,0
1583,Prem Kumar,Northwestern University,Scientific Computing,University of Delhi,State University of New York,0,7,7,0
1584,Qi Zhu,Northwestern University,Software Engineering,Tsinghua University,"University of California, Berkeley",0,12,12,0
1585,Randall A. Berry,Northwestern University,Computer Networks,Missouri University of Science and Technology,Massachusetts Institute of Technology,0,34,34,0
1586,Randy Freeman,Northwestern University,Scientific Computing,Cornell University,"University of California, Santa Barbara",0,7,7,0
1587,Robby Bruce Findler,Northwestern University,Programming Languages,Carnegie Mellon University,Rice University,0,7,7,0
1588,Russ Joseph,Northwestern University,Computer Architecture,Carnegie Mellon University,Princeton University,0,2,2,0
1589,Samir Khuller,Northwestern University,Algorithms & Complexity,Indian Institute of Technology Kanpur,Cornell University,0,32,32,0
1590,Seda Ogrenci Memik,Northwestern University,Software Engineering,Boğaziçi University,"University of California, Los Angeles",0,12,12,0
1591,Selim Shahriar,Northwestern University,Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,34,34,0
1592,Simone Campanoni,Northwestern University,Computer Education,Politecnico di Milano,Politecnico di Milano,0,4,4,0
1593,Thrasyvoulos N Pappas,Northwestern University,Computer Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,14,14,0
1594,Tom Hinrichs,Northwestern University,Artificial Intelligence,Cornell University,Georgia Institute of Technology,0,2,2,0
1595,Uri Wilensky,Northwestern University,Computer Education,Brandeis University,Massachusetts Institute of Technology,0,4,4,0
1596,Xiao Shaun Wang,Northwestern University,Computer Security,Hong Kong University of Science and Technology,University of Maryland,0,31,31,0
1597,Yan Chen,Northwestern University,Computer Networks,Zhejiang University,"University of California, Berkeley",0,34,34,0
1598,Ying Wu,Northwestern University,Computer Vision,Huazhong University of Science and Technology,University of Illinois at Urbana-Champaign,0,5,5,0
1599,Zhaoran Wang,Northwestern University,Machine Learning & Data Mining,Tsinghua University,Princeton University,0,25,25,0
1600,Anish Arora,Ohio State University,Algorithms & Complexity,Indian Institute of Technology Delhi,University of Texas at Austin,0,32,32,0
1601,Arnab Nandi,Ohio State University,Databases,University of Delhi,University of Michigan,0,0,0,0
1602,Atanas Rountev,Ohio State University,Software Engineering,Technical University of Sofia,Rutgers University,0,12,12,0
1603,Bryan Choi,Ohio State University,Computer Security,Harvard University,,0,31,31,1
1604,Christopher Stewart,Ohio State University,Design Automation,Morehouse College,University of Rochester,0,0,0,0
1605,DeLiang L. Wang,Ohio State University,Artificial Intelligence,Peking University,University of Southern California,0,2,2,0
1606,Dhabaleswar K. Panda,Ohio State University,High-Performance Computing,Indian Institute of Technology Kanpur,University of Southern California,0,7,7,0
1607,Dong Xuan,Ohio State University,Computer Networks,Shanghai Jiao Tong University,Texas A&M University,0,34,34,0
1608,Eric Fosler,Ohio State University,Natural Language Processing,University of Pennsylvania,"University of California, Berkeley",0,0,0,0
1609,Eric Fosler-Lussier,Ohio State University,Natural Language Processing,"University of California, Berkeley",International Computer Science Institute,0,0,0,0
1610,Facundo Mémoli,Ohio State University,Machine Learning & Data Mining,Universidad de la República - Udelar,University of Minnesota,0,25,25,0
1611,Feng Qin,Ohio State University,Operating Systems,University of Science and Technology of China,University of Illinois at Urbana-Champaign,0,0,0,0
1612,Han-Wei Shen,Ohio State University,Machine Learning & Data Mining,National Taiwan University,University of Utah,0,25,25,0
1613,Huamin Wang,Ohio State University,Computer Graphics,Zhejiang University,Georgia Institute of Technology,0,14,14,0
1614,Huan Sun,Ohio State University,Machine Learning & Data Mining,University of Science and Technology of China,"University of California, Santa Barbara",0,25,25,0
1615,James W. Davis,Ohio State University,Computer Vision,American University,Massachusetts Institute of Technology,0,5,5,0
1616,Jian Chen,Ohio State University,,University of Houston,Virginia Tech,0,0,0,1
1617,Kannan Srinivasan,Ohio State University,Computer Networks,University of Madras,Stanford University,0,34,34,0
1618,Kenneth J. Supowit,Ohio State University,Algorithms & Complexity,,University of Illinois at Urbana-Champaign,0,32,32,1
1619,Luis Rademacher,Ohio State University,Algorithms & Complexity,University of Chile,Massachusetts Institute of Technology,0,32,32,0
1620,Michael D. Bond,Ohio State University,Programming Languages,University of Illinois at Urbana-Champaign,University of Texas at Austin,0,7,7,0
1621,Mircea-Radu Teodorescu,Ohio State University,Computer Architecture,Technical University of Cluj-Napoca,University of Illinois at Urbana-Champaign,0,2,2,0
1622,Neelam Soundarajan,Ohio State University,Software Engineering,University of Mumbai,University of Mumbai,0,12,12,0
1623,Ness B. Shroff,Ohio State University,Computer Networks,,Columbia University,0,34,34,1
1624,Nicoleta Roman,Ohio State University,Machine Learning & Data Mining,University of Bucharest,Ohio State University,0,25,25,0
1625,Paul Sivilotti,Ohio State University,High-Performance Computing,Queen's University,California Institute of Technology,0,7,7,0
1626,Prasun Sinha,Ohio State University,Computer Networks,Indian Institute of Technology Delhi,University of Illinois at Urbana-Champaign,0,34,34,0
1627,Radu Teodorescu,Ohio State University,Computer Architecture,Technical University of Cluj-Napoca,University of Illinois at Urbana-Champaign,0,2,2,0
1628,Raghu Machiraju,Ohio State University,Comp. Bio & Bioinformatics,Delhi Technological University,Ohio State University,0,2,2,0
1629,Rephael Wenger,Ohio State University,Computer Graphics,Princeton University,McGill University,0,14,14,0
1630,Roger Crawfis,Ohio State University,Computer Graphics,Purdue University,"University of California, Davis",0,14,14,0
1631,Spyros Blanas,Ohio State University,Databases,Technical University of Crete,University of Wisconsin-Madison,0,0,0,0
1632,Srinivasan Parthasarathy,Ohio State University,Machine Learning & Data Mining,Indian Institute of Technology Madras,University of Rochester,0,25,25,0
1633,Tamal K. Dey,Ohio State University,Computer Graphics,Jadavpur University,Purdue University,0,14,14,0
1634,Ten-Hwang Lai,Ohio State University,Computer Networks,,University of Minnesota,0,34,34,1
1635,Wei-Lun Chao,Ohio State University,,,,0,0,0,3
1636,Xiaodong Zhang,Ohio State University,High-Performance Computing,Beijing University of Technology,University of Colorado Boulder,0,7,7,0
1637,Yang Wang,Ohio State University,Computer Education,Tsinghua University,Duke University,0,4,4,0
1638,Yinqian Zhang,Ohio State University,Operating Systems,Shanghai Jiao Tong University,University of North Carolina at Chapel Hill,0,0,0,0
1639,Yu Su,Ohio State University,,,,0,0,0,3
1640,Zhiqiang Lin,Ohio State University,Computer Education,,Purdue University,0,4,4,1
1641,Alan Fern,Oregon State University,Artificial Intelligence,University of Maine,Purdue University,0,2,2,0
1642,Alan Wang,Oregon State University,Comp. Bio & Bioinformatics,Tsinghua University,University of Texas at Austin,0,2,2,0
1643,Albrecht Jander,Oregon State University,Embedded & Real-Time Systems,Washington University in St. Louis,Washington University in St. Louis,0,14,14,0
1644,Amir Nayyeri,Oregon State University,Computer Graphics,University of Tehran,University of Illinois at Urbana-Champaign,0,14,14,0
1645,Andreas Weisshaar,Oregon State University,Computer Networks,University of Stuttgart,Oregon State University,0,34,34,0
1646,Anita Sarma,Oregon State University,Software Engineering,Birla Institute of Technology and Science,"University of California, Irvine",0,12,12,0
1647,Arash Termehchy,Oregon State University,Artificial Intelligence,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,2,2,0
1648,Arun Natarajan,Oregon State University,Computer Vision,Indian Institute of Technology Madras,California Institute of Technology,0,5,5,0
1649,Bechir Hamdaoui,Oregon State University,Computer Networks,École nationale d'ingénieurs de Brest,University of Wisconsin-Madison,0,34,34,0
1650,Bella Bose,Oregon State University,High-Performance Computing,University of Madras,Southern Methodist University,0,7,7,0
1651,Ben Lee,Oregon State University,Computer Architecture,Stony Brook University,Pennsylvania State University,0,2,2,0
1652,Cherri M. Pancake,Oregon State University,Software Engineering,Auburn University,Cornell University,0,12,12,0
1653,Chris Scaffidi,Oregon State University,Software Engineering,University of Wisconsin-Madison,Carnegie Mellon University,0,12,12,0
1654,Daniel P. Friedman,Oregon State University,The Web & Information Retrieval,Colorado State University,"University of California, Irvine",0,0,0,0
1655,David Hendrix,Oregon State University,Machine Learning & Data Mining,Georgia Institute of Technology,"University of California, Berkeley",0,25,25,0
1656,Eduardo Cotilla Sanchez,Oregon State University,Computer Security,University of Vermont,University of Vermont,0,31,31,0
1657,Eric Walkingshaw,Oregon State University,Natural Language Processing,University of Washington,Oregon State University,0,0,0,0
1658,Eugene Zhang,Oregon State University,Computer Graphics,Ohio State University,Georgia Institute of Technology,0,14,14,0
1659,Fuxin Li,Oregon State University,Machine Learning & Data Mining,Zhejiang University,Chinese Academy of Sciences,0,25,25,0
1660,Gabor C. Temes,Oregon State University,Computer Networks,Riga Technical University,University of Ottawa,0,34,34,0
1661,Glencora Borradaile,Oregon State University,Algorithms & Complexity,University of Western Ontario,Brown University,0,32,32,0
1662,Heather Knight,Oregon State University,Human-Computer Interaction,Massachusetts Institute of Technology,Carnegie Mellon University,0,21,21,0
1663,Huaping Liu,Oregon State University,Scientific Computing,Nanjing University of Posts and Telecommunications,New Jersey Institute of Technology,0,7,7,0
1664,Jinsub Kim,Oregon State University,Computer Networks,KAIST,Cornell University,0,34,34,0
1665,John G. Wager,Oregon State University,Embedded & Real-Time Systems,Oregon State University,Colorado State University,0,14,14,0
1666,John P. Conley,Oregon State University,Interdisciplinary Areas,Pennsylvania State University,Pennsylvania State University,0,11,11,0
1667,Julia Zhang,Oregon State University,Design Automation,,Ohio State University,0,0,0,1
1668,Julie A. Adams,Oregon State University,Human-Computer Interaction,Siena College,University of Pennsylvania,0,21,21,0
1669,Kartikeya Mayaram,Oregon State University,Computer Networks,Birla Institute of Technology and Science,"University of California, Berkeley",0,34,34,0
1670,Kelin Kuhn,Oregon State University,Computer Education,University of Washington,Stanford University,0,4,4,0
1671,Larry Cheng,Oregon State University,Comp. Bio & Bioinformatics,National Chiao Tung University,Michigan State University,0,2,2,0
1672,Liang Huang,Oregon State University,Theory,Shanghai Jiao Tong University,University of Pennsylvania,0,2,2,0
1673,Lizhong Chen,Oregon State University,Computer Architecture,Zhejiang University,University of Southern California,0,2,2,0
1674,Margaret Burnett,Oregon State University,Human-Computer Interaction,Miami University,University of Kansas,0,21,21,0
1675,Mario E. Magaña,Oregon State University,Design Automation,Iowa State University,Purdue University,0,0,0,0
1676,Martin Erwig,Oregon State University,Natural Language Processing,TU Dortmund,FernUniversität Hagen,0,0,0,0
1677,Matthew Johnston,Oregon State University,Comp. Bio & Bioinformatics,California Institute of Technology,Columbia University,0,2,2,0
1678,Michael J. Rosulek,Oregon State University,Algorithms & Complexity,Iowa State University,University of Illinois at Urbana-Champaign,0,32,32,0
1679,Mike Bailey,Oregon State University,Computer Graphics,Purdue University,Purdue University,0,14,14,0
1680,Minsuk Kahng,Oregon State University,Human-Computer Interaction,Seoul National University,Georgia Institute of Technology,0,21,21,0
1681,Pallavi Dhagat,Oregon State University,Computer Architecture,Birla Institute of Technology and Science,Washington University in St. Louis,0,2,2,0
1682,Patrick Chiang,Oregon State University,Computer Architecture,"University of California, Berkeley",Stanford University,0,2,2,0
1683,Prasad Tadepalli,Oregon State University,Artificial Intelligence,"National Institute of Technology, Tiruchirappalli",Rutgers University,0,2,2,0
1684,Rakesh B. Bobba,Oregon State University,Computer Networks,Birla Institute of Technology and Science,University of Maryland,0,34,34,0
1685,Raviv Raich,Oregon State University,Artificial Intelligence,Tel Aviv University,Georgia Institute of Technology,0,2,2,0
1686,Rebecca A. Hutchinson,Oregon State University,Machine Learning & Data Mining,Bucknell University,Carnegie Mellon University,0,25,25,0
1687,Sinisa Todorovic,Oregon State University,Computer Vision,University of Belgrade,University of Florida,0,5,5,0
1688,Stefan Lee,Oregon State University,Computer Vision,University of West Florida,Indiana University Bloomington,0,5,5,0
1689,Stephen Ramsey,Oregon State University,Machine Learning & Data Mining,Brown University,University of Maryland,0,25,25,0
1690,Tejasvi Anand,Oregon State University,Software Engineering,Guru Gobind Singh Indraprastha University,University of Illinois at Urbana-Champaign,0,12,12,0
1691,Thinh Nguyen,Oregon State University,Computer Networks,University of Washington,"University of California, Berkeley",0,34,34,0
1692,Un-Ku Moon,Oregon State University,Computer Networks,University of Washington,University of Illinois at Urbana-Champaign,0,34,34,0
