"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"550","Leslie Kaelbling","Massachusetts Institute of Technology","2000","Full","Artificial Intelligence","Stanford University - USA","","Stanford University - USA","","","","http://people.csail.mit.edu/lpk/","2","2016-07-24"
"551","Li-Shiuan Peh","Massachusetts Institute of Technology","2009","Associate","Networks & Communications","National University of Singapore - Singapore","Stanford University - USA","Stanford University - USA","","","","http://people.csail.mit.edu/peh/cv_jul13.pdf","2","2016-07-24"
"552","Luca Daniel","Massachusetts Institute of Technology","2003","Associate","Hardware & Architecture","","Universita di Padova - Italy","University of California - Berkeley - USA","","","","http://www.mit.edu/~dluca/cv/","2","2016-07-24"
"553","M. Frans Kaashoek","Massachusetts Institute of Technology","1993","Full","Operating Systems","","Vrije Universiteit - Netherlands","Vrije Universiteit - Netherlands","","","","http://en.wikipedia.org/wiki/Frans_Kaashoek","2","2016-07-24"
"554","Madhu Sudan","Massachusetts Institute of Technology","2007","Associate","Algorithms & Theory","Indian Institute of Technology - Delhi - India","","University of California - Berkeley - USA","","","","http://people.csail.mit.edu/madhu/","2","2016-07-24"
"555","Manolis Kellis","Massachusetts Institute of Technology","2004","Associate","Bioinformatics & Computational Biology","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Broad Institute of MIT & Harvard University - USA - USA","","","http://web.mit.edu/manoli/www/resume.pdf","2","2016-07-24"
"556","Martin Rinard","Massachusetts Institute of Technology","2000","Full","Programming Languages","Brown University - USA","","Stanford University - USA","","","","http://people.csail.mit.edu/rinard/cv.pdf","2","2016-07-24"
"557","Marvin Minsky","Massachusetts Institute of Technology","1958","Full","Artificial Intelligence","Harvard University - USA","","Princeton University - USA","","","","http://web.media.mit.edu/~minsky/minskybiog.html","2","2016-07-24"
"558","Michael R. Watts","Massachusetts Institute of Technology","2010","Associate","Networks & Communications","Tufts University - USA","","Massachusetts Institute of Technology - USA","","","","http://www.rle.mit.edu/people/directory/michael-watts/","2","2016-07-24"
"559","Muriel Medard","Massachusetts Institute of Technology","1995","Full","Networks & Communications","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Female","http://rledevs4.mit.edu/personnel/Pages/Public/PersonalPhoto.aspx?PersonId=176143&Small=True&Version=20141002141211537","http://www.rle.mit.edu/people/directory/muriel-medard/","2","2015-10-08"
"560","Nickolai Zeldovich","Massachusetts Institute of Technology","","Associate","Operating Systems","Massachusetts Institute of Technology - USA","","Stanford University - USA","","","","https://www.csail.mit.edu/user/1705","2","2016-07-24"
"561","Nir Shavit","Massachusetts Institute of Technology","","Full","Distributed & Parallel Computing","Technion-Israel Institute of Technology - Israel","Technion-Israel Institute of Technology - Israel","Hebrew University of Jerusalem - Israel","","","","http://www.csail.mit.edu/user/2590","2","2016-07-24"
"562","Pablo Parrilo","Massachusetts Institute of Technology","","Associate","Software Engineering","University of Buenos Aires - Argentina","","California Institute of Technology - USA","","","","http://www.mit.edu/~parrilo/Parrilo-bio.txt","2","2016-07-24"
"563","Patrick Jaillet","Massachusetts Institute of Technology","2002","Full","Algorithms & Theory","","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","http://www.mit.edu/~jaillet/","http://web.mit.edu/jaillet/www/general/bio.html","2","2015-10-08"
"564","Patrick Winston","Massachusetts Institute of Technology","","Full","Artificial Intelligence","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","","http://people.csail.mit.edu/phw/vitae.html","6970","2017-03-27"
